,name,description,host_name,host_response_time,host_response_rate,neighbourhood,room_type,accommodates,amenities,price,has_availability,review_accuracy,cleanliness,location_review,good_property,longitude,latitude
10,My Address in Barcelona 38 B,"IMPORTANT INFORMATION:<br />More than ever, cleanliness is one of our main objectives. That is why we reinforce the cleanliness inside the apartment, and every two hours, in all common areas. We use products fully approved by the health department.<br />Also, as a preventive measure, we have installed gel dispensers at the entrance of the building, as well as at the entrance of the apartment. We remind you that we are closer than ever through the mail and our phone 24 hours<br /><br /><b>The space</b><br />Nice apartment only 5 minutes walking to the heart of Barcelona. Three bedroom with 2 bathrooms. A fully equipped kitchen and a nice living room.<br />It's a functional apartment equipped with everything that you will need during your stay.<br />The apartment is up to 9 persons.  WE ONLY ACCEPT FAMILIES.<br />It's located in Ronda Sant Pere, close to Borne, just 5 minutes walking, and also 10 minutes away from Ramblas and Plaza Cataluña.<br />There are supermarkets, bars, restaurants",My Address,within a few hours,90%,"Barcelona, Catalunya, Spain",Entire home/apt,10,"[""Elevator"", ""Kitchen"", ""Microwave"", ""Coffee maker"", ""Hot water"", ""Cooking basics"", ""Dedicated workspace"", ""High chair"", ""Dishwasher"", ""Hangers"", ""Iron"", ""Private entrance"", ""Oven"", ""Luggage dropoff allowed"", ""Bathtub"", ""Washer"", ""Pack \u2019n Play/travel crib"", ""Wifi"", ""Refrigerator"", ""Heating"", ""Extra pillows and blankets"", ""Hair dryer"", ""Air conditioning"", ""Dishes and silverware"", ""Bed linens"", ""Essentials"", ""TV"", ""Fire extinguisher"", ""Stove"", ""Host greets you""]",270.0,t,9.0,7.0,10.0,F,2.17612,41.3905
11,4Rooms Near Pl Cataluña/España OleBCN,"4 separeted Bedrooms with doors.2 toilets with shower, spacious sitting room & well equipped kitchen, Central heating. 10 minutes to Plaza España, walking distance to Plaza Cataluña & Barcelona Sants railway station. Close to metro line 1, 2 & 5. Perfect for up to 10 person.<br /><br /><b>The space</b><br />This spacious and comfortable 4 bedrooms, fully furnished and newly renovated. Each of the 4 big bedrooms has a king-sized bed. Additional beds can be fitted in those 3 big bedrooms, it fits for 10 persons maximum. Sitting room is very big & bright, it is perfect for a big group of people, family or friends. Fully equiped kitchen, 2 bathrooms with shower, Wi-fi, flat screen TV, heating and air conditioning, clean linens and towels provided, 5-Star amenities, elite concierge service.<br /><br /><b>Guest access</b><br />Private apartment for 10 people <br />Sitting room, Balcony, kitchen, bathroom, TV, wifi... feel at home!<br />Guests have full,private space.<br /><br /><b>Other thin",Xueyan,within an hour,90%,"Barcelona, Catalunya, Spain",Entire home/apt,10,"[""Elevator"", ""Refrigerator"", ""Stove"", ""Wifi"", ""Host greets you"", ""Fire extinguisher"", ""Patio or balcony"", ""Shampoo"", ""Coffee maker"", ""TV"", ""Paid parking on premises"", ""Hot water"", ""Washer"", ""Air conditioning"", ""Essentials"", ""Dishes and silverware"", ""Microwave"", ""Cooking basics"", ""Hair dryer"", ""Cable TV"", ""Kitchen"", ""Heating""]",270.0,t,9.0,9.0,10.0,T,2.1555299999999997,41.383309999999994
12,Luxury 2 bedroom 2 bathroom,"This Rambla Deluxe B apartment in Barcelona offers 2 bedrooms, 2 bathrooms, and a large living room with views of Diputación Street and the Rambla de Catalunya, well-known for being one of the most exclusive streets of the city, which go accordingly to its stylish details and decoration. The apartment is fully equipped with everything you need to enjoy a perfect vacation in Barcelona, including a fully equipped kitchen. It’s located in the Habitat Apartments Rambla Deluxe building, likeRambla Deluxe A. Additional Information:- There is a concierge in the building <br /><br />City tax:<br />2.4750 € per night and person will be added to the total price.<br /> - The city tax will apply to a maximum of 7 nights.<br /> - The city tax does not apply to those under 17 years.<br /><br /> Size: 90 m2. <br /> <br />Amenities: Bed Linen  Towels, Central Heating, air conditioning, Elevator, No Pets Allowed, Safe Deposit, Baby cot, Baby high chair, No parties, Suitable for children, Free Wireless ",Habitat Apartments,within an hour,94%,"Barcelona, Spain",Entire home/apt,4,"[""Crib"", ""Elevator"", ""Kitchen"", ""Hair dryer"", ""Air conditioning"", ""Shampoo"", ""TV"", ""High chair"", ""Dishwasher"", ""Wifi"", ""Iron"", ""Oven"", ""Heating"", ""Patio or balcony"", ""Essentials""]",268.0,t,9.0,8.0,10.0,T,2.16566,41.3892
13,Grace 3 - Habitat Apartments,"This apartment is located in the central Eixample area full of bars, restaurants, stores and architectural spots. The impeccable design elements in this apartment make it stand out. The apartment accommodates 8 people. The master bedroom offers a large elegant bathroom en-suite. There is also a comfortable double bedroom with small balcony, and a twin bedroom. The spacious living room, with balconies, offers a relaxing space to wind down & a sofa bed for two guests. There is a fully equipped kitchen with dining area, and a second bathroom as well.   <br /><br />COVID-19 prevention:<br />Habitat Apartments complies with the Cleaning and Security protocols contained in the Order of the Ministry of Health SND/399/020, of May 9 regarding COVID-19. These protocols regulate:<br /> 1) The cleaning to be carried out in the apartments with appropriate products, replacement and cleaning of textiles.<br /> 2) The security and prevention measures of the staff of Habitat Apartments and of our clien",Habitat Apartments,within an hour,94%,"Barcelona, Spain",Entire home/apt,8,"[""Crib"", ""Elevator"", ""Kitchen"", ""Coffee maker"", ""Hair dryer"", ""Air conditioning"", ""Shampoo"", ""Washer"", ""TV"", ""High chair"", ""Dishwasher"", ""Wifi"", ""Iron"", ""Oven"", ""Heating"", ""Patio or balcony"", ""Essentials""]",263.0,t,9.0,9.0,10.0,T,2.1715,41.39808
14,My Address in Barcelona 38A,"IMPORTANT INFORMATION:<br />More than ever, cleanliness is one of our main objectives. That is why we reinforce the cleanliness inside the apartment, and every two hours, in all common areas. We use products fully approved by the health department.<br />Also, as a preventive measure, we have installed gel dispensers at the entrance of the building, as well as at the entrance of the apartment. We remind you that we are closer than ever through the mail and our phone 24 hours<br /><br /><b>The space</b><br />New apartment in the heart of Barcelona. 4 bedroom apartment with three bathrooms. A fully equipped kitchen and a nice living room.<br />It's a functional apartment equipped with everything that you will need during your stay. We will help you to arrange your trip, just let us know<br /><br />APARTMENT ONLY FOR FAMILIES<br /><br /><b>Guest access</b><br />You will be able to use the whole apartment for your family.<br /><br /><b>Other things to note</b><br />In Barcelona there are a ",My Address,within a few hours,90%,"Barcelona, Catalunya, Spain",Entire home/apt,10,"[""Elevator"", ""Refrigerator"", ""Stove"", ""Wifi"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Room-darkening shades"", ""Dishwasher"", ""Bed linens"", ""High chair"", ""Private entrance"", ""TV"", ""Hot water"", ""Washer"", ""Air conditioning"", ""Essentials"", ""Dishes and silverware"", ""Microwave"", ""Pack \u2019n Play/travel crib"", ""Cooking basics"", ""Hair dryer"", ""Extra pillows and blankets"", ""Hangers"", ""Oven"", ""Kitchen"", ""Bathtub"", ""Iron"", ""Heating"", ""Dedicated workspace""]",263.0,t,9.0,9.0,10.0,T,2.1756900000000003,41.38876
15,100. Futbol G22 Apartment,"With Barcelona's footballing views, as it is in the entrance to the Nou Camp, this large apartment has four large double bedrooms and two bathrooms with shower flat walk.<br /><br /><b>The space</b><br />With Barcelona's footballing views, as it is in the entrance to the Nou Camp, this large apartment has four large double bedrooms and two bathrooms with shower flat walk. The large living room next to the account with a dining area with kitchenette that will make your time of leisure a luxury. Noted for its high brightness for the entire floor to the outside, with stunning views over the Camp NOUHUTB 004277 04<br />Les Corts is a typical catalonian neighbourhood where tradition and modernity co-exist in perfect harmony. A number of innovative buildings, such as the Trade Towers, stand out among the modern office and housing blocks and hotels. Here you will also find major shopping malls with their elegant shops and department stores, such as L’Illa Diagonal. The university campus flank",Alcambarcelona,within an hour,99%,"Barcelona, Catalunya, Spain",Entire home/apt,8,"[""Kitchen"", ""Microwave"", ""Coffee maker"", ""Hot water"", ""Cooking basics"", ""Dedicated workspace"", ""High chair"", ""Dishwasher"", ""Hangers"", ""Electric stove"", ""Iron"", ""Oven"", ""Freezer"", ""Washer"", ""Wifi"", ""Refrigerator"", ""Heating"", ""Crib"", ""Baby bath"", ""Hair dryer"", ""Air conditioning"", ""Dishes and silverware"", ""Bed linens"", ""Essentials"", ""TV"", ""Host greets you""]",262.0,t,7.0,8.0,8.0,F,2.12565,41.379979999999996
16,111. Futbol B31 Apartment,"With Barcelona's footballing views, as it is in the entrance to the Nou Camp, this large apartment has four large double bedrooms and two bathrooms with shower flat walk.<br /><br /><b>The space</b><br />With Barcelona's footballing views, as it is in the entrance to the Nou Camp, this large apartment has four large double bedrooms and two bathrooms with shower flat walk. The large living room next to the account with a dining area with kitchenette that will make your time of leisure a luxury. Noted for its high brightness for the entire floor to the outside, with stunning views over the Camp NOUHUTB 010516 87<br />Les Corts is a typical catalonian neighbourhood where tradition and modernity co-exist in perfect harmony. A number of innovative buildings, such as the Trade Towers, stand out among the modern office and housing blocks and hotels. Here you will also find major shopping malls with their elegant shops and department stores, such as L’Illa Diagonal. The university campus flank",Alcambarcelona,within an hour,99%,"Barcelona, Catalunya, Spain",Entire home/apt,8,"[""Kitchen"", ""Microwave"", ""Long term stays allowed"", ""Coffee maker"", ""Hot water"", ""Cooking basics"", ""Dedicated workspace"", ""High chair"", ""Dishwasher"", ""Hangers"", ""Iron"", ""Oven"", ""Luggage dropoff allowed"", ""Washer"", ""Wifi"", ""Refrigerator"", ""Heating"", ""Patio or balcony"", ""Crib"", ""Baby bath"", ""Hair dryer"", ""Air conditioning"", ""Dishes and silverware"", ""Bed linens"", ""Essentials"", ""TV"", ""Stove"", ""Host greets you""]",262.0,t,8.0,8.0,8.0,T,2.12565,41.379979999999996
17,119. Futbol G12 Apartment,"With Barcelona's footballing views, as it is in the entrance to the Nou Camp, this large apartment has four large double bedrooms and two bathrooms with shower flat walk.<br /><br /><b>The space</b><br />With Barcelona's footballing views, as it is in the entrance to the Nou Camp, this large apartment has four large double bedrooms and two bathrooms with shower flat walk. The large living room next to the account with a dining area with kitchenette that will make your time of leisure a luxury. Noted for its high brightness for the entire floor to the outside, with stunning views over the Camp NOUHUTB 004275 95<br />Les Corts is a typical catalonian neighbourhood where tradition and modernity co-exist in perfect harmony. A number of innovative buildings, such as the Trade Towers, stand out among the modern office and housing blocks and hotels. Here you will also find major shopping malls with their elegant shops and department stores, such as L’Illa Diagonal. The university campus flank",Alcambarcelona,within an hour,99%,"Barcelona, Catalunya, Spain",Entire home/apt,8,"[""Kitchen"", ""Microwave"", ""Long term stays allowed"", ""Coffee maker"", ""Hot water"", ""Cooking basics"", ""Dedicated workspace"", ""High chair"", ""Dishwasher"", ""Hangers"", ""Electric stove"", ""Iron"", ""Oven"", ""Freezer"", ""Luggage dropoff allowed"", ""Washer"", ""Wifi"", ""Refrigerator"", ""Patio or balcony"", ""Crib"", ""Baby bath"", ""Hair dryer"", ""Air conditioning"", ""Dishes and silverware"", ""Bed linens"", ""Essentials"", ""TV"", ""Host greets you""]",262.0,t,6.0,7.0,7.0,F,2.12565,41.379979999999996
18,117. Futbol B11 Apartment,"With Barcelona's footballing views, as it is in the entrance to the Nou Camp, this large apartment has four large double bedrooms and two bathrooms with shower flat walk.<br /><br /><b>The space</b><br />With Barcelona's footballing views, as it is in the entrance to the Nou Camp, this large apartment has four large double bedrooms and two bathrooms with shower flat walk. The large living room next to the account with a dining area with kitchenette that will make your time of leisure a luxury. Noted for its high brightness for the entire floor to the outside, with stunning views over the Camp NOUHUTB 012900 08<br />Les Corts is a typical catalonian neighbourhood where tradition and modernity co-exist in perfect harmony. A number of innovative buildings, such as the Trade Towers, stand out among the modern office and housing blocks and hotels. Here you will also find major shopping malls with their elegant shops and department stores, such as L’Illa Diagonal. The university campus flank",Alcambarcelona,within an hour,99%,"Barcelona, Catalunya, Spain",Entire home/apt,8,"[""Kitchen"", ""Microwave"", ""Long term stays allowed"", ""Coffee maker"", ""Hot water"", ""Cooking basics"", ""Dedicated workspace"", ""High chair"", ""Dishwasher"", ""Hangers"", ""Electric stove"", ""Iron"", ""Oven"", ""Freezer"", ""Luggage dropoff allowed"", ""Washer"", ""Wifi"", ""Refrigerator"", ""Heating"", ""Patio or balcony"", ""Crib"", ""Baby bath"", ""Hair dryer"", ""Air conditioning"", ""Dishes and silverware"", ""Bed linens"", ""Building staff"", ""Essentials"", ""TV""]",262.0,t,7.0,8.0,8.0,F,2.12565,41.379979999999996
19,AB Vila i Vilá Apartment - Ref. GI1902,"This is a lovely apartment in Barcelona, ideal for large families and/or groups. It is situated just off Paral-lel street, one of the most famous in Barcelona, and is just a short walk from Las Ramblas and the Port. It is very well connected by public transport to the city´s main attractions and is surrounded by bars and restaurants, plus many places for entertainment, including several theaters.The apartment can accommodate up to six people, and has three bedrooms. It comes fully furnished and the kitchen is fully-equipped. There is one bathroom in the apartment. It also has an Internet connection, a TV, air conditioning and a washing machine - everything you need to make you feel right at home  when in Barcelona.<br /><br />Metro station: Paral-lel (L2 and L3)<br /><br />IMPORTANT: The building´s communal terrace will remain closed until further notice. Sorry for the inconvenience.<br /><br /><b>The space</b><br />This is a lovely apartment in Barcelona, ideal for large families and/",Eva&Jack,within a few hours,88%,"BARCELONA, city, Spain",Entire home/apt,6,"[""Elevator"", ""Kitchen"", ""Microwave"", ""Coffee maker"", ""Smart lock"", ""Hair dryer"", ""Air conditioning"", ""Hot water"", ""Washer"", ""Shampoo"", ""Cooking basics"", ""TV"", ""Dishwasher"", ""Wifi"", ""Dishes and silverware"", ""Hangers"", ""Iron"", ""Refrigerator"", ""Patio or balcony"", ""Essentials""]",261.0,t,8.0,9.0,9.0,T,2.16751,41.37388
